Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
LOAD_METHOD                       -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    -    -    -   
CALL_METHOD                       -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    -    -    -    -   
PRECALL                           -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
FORMAT_VALUE                      -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -   
ENTER_EXECUTOR                    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    -   
BINARY_ADD                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_SUBTRACT                   ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_MULTIPLY                   ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_TRUE_DIVIDE                ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -   
BINARY_FLOOR_DIVIDE               ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -   
BINARY_MODULO                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_POWER                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_MATRIX_MULTIPLY            -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_LSHIFT                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_RSHIFT                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_AND                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_OR                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
BINARY_XOR                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_ADD                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_SUBTRACT                  ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_MULTIPLY                  ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_TRUE_DIVIDE               -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_FLOOR_DIVIDE              -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_MODULO                    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_POWER                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_MATRIX_MULTIPLY           -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_LSHIFT                    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
